Geographic Area,Melanoma Cases,Total Population
Alabama,"1,198","4,817,528"
Alaska,91,"730,307"
Arizona,"1,060","6,551,149"
Arkansas,659,"2,949,828"
California,"8,135","37,999,878"
Colorado,"1,180","5,189,458"
Connecticut,836,"3,591,765"
Delaware,325,"917,053"
District of Columbia,46,"633,427"
Florida,"5,166","19,320,749"
Georgia,"2,598","9,915,646"
Hawaii,300,"1,390,090"
Idaho,455,"1,595,590"
Illinois,"2,544","12,868,192"
Indiana,"1,198","6,537,782"
Iowa,840,"3,075,039"
Kansas,726,"2,885,398"
Kentucky,"1,239","4,379,730"
Louisiana,818,"4,602,134"
Maine,409,"1,328,501"
Maryland,"1,315","5,884,868"
Massachusetts,"1,461","6,645,303"
Michigan,"1,869","9,882,519"
Minnesota,"1,672","5,379,646"
Mississippi,550,"2,986,450"
Missouri,"1,242","6,024,522"
Montana,303,"1,005,494"
Nebraska,355,"1,855,350"
Nevada,,
New Hampshire,388,"1,321,617"
New Jersey,"2,157","8,867,749"
New Mexico,365,"2,083,540"
New York,"3,717","19,576,125"
North Carolina,"2,450","9,748,364"
North Dakota,167,"701,345"
Ohio,"2,456","11,553,031"
Oklahoma,728,"3,815,780"
Oregon,"1,110","3,899,801"
Pennsylvania,"3,220","12,764,475"
Rhode Island,268,"1,050,304"
South Carolina,"1,184","4,723,417"
South Dakota,205,"834,047"
Tennessee,"1,395","6,454,914"
Texas,"2,990","26,060,796"
Utah,828,"2,854,871"
Vermont,224,"625,953"
Virginia,"1,396","8,186,628"
Washington,"1,868","6,895,318"
West Virginia,468,"1,856,680"
Wisconsin,"1,451","5,724,554"
Wyoming,128,"576,626"
