"","REF_AREA","Country","INDICATOR","Indicator","SEX","Sex","AGE","Current.age","WEALTH_QUINTILE","Wealth.Quintile","RESIDENCE","Residence","MATERNAL_EDU_LVL","Mother.s.Education.Level","HEAD_OF_HOUSE","Head.of.House","UNIT_MULTIPLIER","Unit.multiplier","UNIT_MEASURE","Unit.of.measure","SOURCE_LINK","SERIES_FOOTNOTE","CUSTODIAN","INDICATOR_DEFINITION","NUMERATOR_DEFINITION","DENOMINATOR_DEFINITION","PUBLICATION_DATE","TIME_PERIOD","OBS_VALUE","DATA_SOURCE","OBS_STATUS","Observation.Status","OBS_CONF","Observation.confidentaility","LOWER_BOUND","UPPER_BOUND","STD_ERR","WGTD_SAMPL_SIZE","TIME_PERIOD_METHOD","Time.period.activity.related.to.when.the.data.are.collected","COVERAGE_TIME","FREQ_COLL","Time.interval.at.which.the.source.data.are.collected","OBS_FOOTNOTE"
"1","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2000,18,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",13.685264,23.425119,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"2","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2001,17.9,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",13.534361,23.137117,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"3","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2002,17.7,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",13.709152,22.674946,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"4","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2003,17.5,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",13.449228,22.755066,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"5","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2004,17.3,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",13.398809,22.699812,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"6","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2005,17.1,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",13.015461,22.674538,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"7","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2006,16.9,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",12.971579,22.276472,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"8","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2007,16.7,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",13.05965,22.159403,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"9","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2008,16.5,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",12.575577,22.254242,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
"10","AGO","Angola","NT_BW_LBW","Prevalence of low birth weight among new-borns","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total","_T","Total",0,"Units","PCNT","%","https://data.unicef.org/topic/nutrition/low-birthweight/","UNICEF-WHO Low birthweight estimates 2019","UNICEF WHO",NA,NA,NA,NA,2009,16.3,"UNICEF-WHO Low birthweight estimates 2019","MD","Modelled",FALSE,"Free",12.431501,21.709538,NA,NA,NA,NA,"2000-2015",NA,NA,"hierarchical regression"
