x,y,Hookworm_prev_perc
29.95,-0.75,44.1
29.97525,0.6156,90
30.01208,0.670617,67.6
30.03,-0.6,58.9
30.05408,0.766217,73.7
30.06877,0.676633,59.3
30.07682,0.70895,81.5
30.11078,0.8013,57.8
30.2632,1.0468,10
30.27,-0.88,18.5
30.272,0.675,27.8
30.2926,1.082533,16.7
30.42,-0.58,19.5
30.52,-0.65,23.8
30.53162,-2.86567,53.3
30.53633,1.047083,40.7
30.54906,-2.51409,80
30.566,-0.383,15.5
30.56653,0.951083,41.5
30.60073,0.96595,50.8
30.6166,0.9166,16.3
30.67,-0.7,30.4
30.69017,1.025967,55
30.72312,-2.41956,76.7
30.83419,-1.31405,60
30.90985,3.005033,32.8
30.95721,-2.78718,58.3
30.96,1.4,25
30.97515,-1.81134,83.3
30.99,1.43615,53.3
31.04885,3.25155,76.1
31.06,1.507283,24.6
31.08685,2.477367,18.5
31.11702,3.4181,62.5
31.11938,-1.34508,51.7
31.13038,-1.49187,60
31.13179,-1.82235,71.7
31.16277,-3.0875,73.3
31.2159,3.3063,78.3
31.21728,3.435783,63.5
31.24197,3.359433,51.6
31.25,-0.533,30.1
31.27823,3.2084,80
31.28163,3.074217,17.9
31.29833,3.256583,57.1
31.32653,-2.61698,80
31.36,1.7,33.3
31.36463,-2.65606,73.3
31.36712,2.460217,41.9
31.3757,1.8262,9.5
31.3851,3.0271,76.3
31.38696,-1.42453,73.3
31.393,2.1748,46.9
31.39932,3.103283,43.8
31.4201,1.7647,57.4
31.459,-1.55071,61.7
31.45968,-2.8393,91.7
31.46326,-2.79596,83.3
31.4682,2.4999,6.3
31.47,-0.38,86
31.47915,3.6457,21.2
31.5,-0.63,31.9
31.50762,2.475083,51.9
31.52353,-3.33521,15
31.52359,-1.38827,65
31.52922,-1.95265,81.7
31.54663,3.4872,47.5
31.54997,3.22965,69
31.57815,-2.65273,53.3
31.58021,-2.79522,78.3
31.585,3.585783,59
31.58844,-1.67753,76.7
31.59493,-1.7134,40
31.60507,3.431,50.8
31.61175,3.47785,37.8
31.63027,-2.64162,68.3
31.63056,-4.93329,40
31.64232,-1.21409,60
31.64433,3.285733,76.3
31.65532,3.6286,47.4
31.66271,-1.59189,60
31.67072,2.608118,44.6
31.67889,-1.88857,56.7
31.68222,-2.98881,75
31.73721,-2.98638,73.3
31.7444,3.448067,27.1
31.75106,-1.31624,63.3
31.76107,-1.15151,80
31.7836,3.7123,51.7
31.78373,3.229533,62.7
31.78595,-2.6341,68.3
31.79513,3.437183,43.5
31.79667,-5.05983,39.7
31.79669,-5.07128,33.3
31.81027,3.785067,50.8
31.81365,-1.32849,26.7
31.82057,3.560583,44.8
31.82148,3.157867,59.6
31.82823,-3.20294,93.3
31.85,0.588,74.1
31.8932,3.32535,62.3
31.90105,3.475933,44.1
31.91008,3.217433,67.7
31.92417,-2.67585,86.7
31.9252,3.556,53.4
31.95337,2.593183,44.1
31.95377,3.390167,22
31.98693,-3.60652,71.7
31.98714,-3.49437,43.3
31.99046,-4.47327,36.7
32.00484,-5.04753,46.7
32.04,1.539133,53.3
32.04827,-5.0005,41.7
32.07227,0.2096167,47.8
32.07873,-5.0796,30
32.083,0.25,40
32.0912,-4.63489,43.3
32.1233,3.26245,68.3
32.15623,2.834883,27.3
32.164,2.611,58.1
32.16943,-4.9395,30
32.17452,2.604567,73.3
32.1784,-5.07237,56.5
32.18229,-3.30712,70.8
32.19144,-3.59645,43.3
32.23136,-3.57966,20
32.23293,-4.5377,38.3
32.25677,-3.47079,70.5
32.26027,1.47005,61.3
32.3163,-5.08943,40
32.32645,2.815133,40
32.33135,-3.82368,86.9
32.34018,-3.87122,90.2
32.35587,-4.75267,43.3
32.35791,-2.50295,48.3
32.38647,2.234317,41.1
32.39388,-4.8051,43.3
32.40628,1.510233,74.6
32.41733,-5.00873,52.5
32.44675,2.89045,77.8
32.45,1.05,57.7
32.45106,-2.63616,90
32.46492,2.50895,45.9
32.46565,1.162617,50
32.47135,-3.64036,56.7
32.47187,1.3156,38.3
32.4749,2.6135,54.8
32.5017,1.3335,66
32.50443,1.505633,63.8
32.52063,0.0664833,48.4
32.52157,-3.02364,70
32.52648,-2.84774,95
32.52803,1.984983,34.9
32.53317,-3.17854,71.7
32.5406,1.984383,3.4
32.54256,-3.44887,58.3
32.5467,1.304117,71
32.55518,0.12925,49.3
32.55892,2.083417,27.1
32.59402,2.040667,73.3
32.59536,-5.43929,55
32.608,-3.33715,78.3
32.60882,3.4036,32.2
32.61695,-5.40068,45
32.6214,-5.44183,36.7
32.63172,2.474883,59.7
32.633,0.833,33.8
32.63667,-3.95911,53.3
32.64728,3.37955,18.3
32.64948,-3.03938,66.7
32.65537,-2.74329,83.3
32.66033,2.687,54.2
32.68803,-4.53745,72.1
32.69594,-5.36484,58.1
32.69846,-3.11557,90
32.70273,-5.73695,50.8
32.71917,-2.58364,48.3
32.7303,-5.58536,35
32.74392,-4.9403,45
32.74638,-5.42978,45
32.75604,-5.62528,19.7
32.76816,-3.69538,5
32.77266,-5.71293,60.7
32.77608,0.0730167,18.2
32.79205,-5.9771,68.3
32.79282,0.2767,71.9
32.79428,2.69015,23
32.7998,0.15135,69.2
32.80639,0.15575,30.8
32.81073,-5.0225,8.1
32.81811,-5.71096,46.7
32.83158,-5.56108,50.8
32.83765,2.440317,32.8
32.84257,-2.73167,73.3
32.86257,-3.08261,56.7
32.86533,0.890033,47.6
32.8919,3.303867,21
32.901,0.700433,49.1
32.90422,-5.70038,61.7
32.91438,-4.08164,65
32.91512,3.240117,43.3
32.91893,3.2897,54.4
32.92148,-5.90181,73.3
32.92217,0.683633,24.5
32.92428,3.260833,52.5
32.93999,-5.70822,67.2
32.9554,-2.54223,10
32.95725,0.8409,52.5
32.96507,2.836233,51.7
32.96742,-4.788,25
32.9753,-4.30241,1.6
32.9817,-5.88339,30
32.98238,-4.9096,38.3
32.98884,-3.04631,73.3
32.99218,0.779633,66.7
32.9987,0.3453667,62
33.00265,-2.72155,51.7
33.00447,2.92515,55.9
33.01872,0.80345,73
33.02682,0.3573833,32.8
33.02859,-3.73443,40
33.0382,-2.53353,54.8
33.03897,3.612083,5.5
33.04207,-2.54713,39.3
33.05113,2.729467,66.1
33.05207,-2.45836,40
33.05461,-2.60564,68.3
33.05667,-2.60403,40.3
33.05981,-3.8658,25
33.06561,-2.58471,41
33.07633,0.59755,73
33.08275,2.895583,69.5
33.10096,-2.52434,54.1
33.10132,-4.24843,73.3
33.10995,0.5943832,67.2
33.11347,2.809167,86.8
33.13156,-2.46649,39.2
33.14027,-2.58075,51.7
33.14458,-2.52525,57.7
33.14627,0.2805,41.4
33.14759,-5.29477,52.5
33.1538,-2.89407,41.7
33.15657,-2.54462,35.3
33.1666,0.7166,63.2
33.17135,-2.50487,51
33.19256,-2.54306,40.7
33.19478,-2.60973,56.6
33.20876,-6.84645,46.7
33.2155,0.41925,44.8
33.2202,0.4885331,57.6
33.22041,-3.04375,15
33.22555,0.4512669,57.9
33.22899,-3.66998,36.1
33.24969,-6.84155,40
33.2553,0.237783,64.7
33.26418,-2.51816,48.3
33.28388,0.6479,63.9
33.28871,-5.41706,44.3
33.29891,-4.7397,36.7
33.30037,0.6149168,76.6
33.31404,-2.62158,37.2
33.32707,0.5590332,78.1
33.33558,-2.97281,18.3
33.33626,-2.55449,30
33.33728,-2.57693,34.7
33.33802,-2.53488,23.5
33.3428,2.856017,63.9
33.3666,0.6833,43.3
33.37313,3.041717,46.7
33.3746,2.063533,73.8
33.3887,-2.60871,39.2
33.40457,0.5218668,52.5
33.41441,-3.68557,5
33.41843,0.4056832,87.5
33.4197,-2.69711,50.4
33.4375,-3.12362,25
33.4424,0.3556331,87.9
33.4459,-2.45587,26.4
33.44893,-4.54304,43.3
33.46841,-4.03224,4.9
33.46962,-2.59762,48.9
33.47297,-2.53454,32.2
33.47493,-2.63811,49.6
33.482,0.48,64.5
33.48202,0.4434169,67.2
33.49872,-2.68843,62
33.50922,0.3417668,67.7
33.51087,-2.48655,26.4
33.51402,0.2612832,94.4
33.51845,-3.44015,3.3
33.52402,-4.45358,40
33.53823,-2.60093,54.2
33.54638,-2.64083,42
33.55871,-2.52148,33
33.56115,0.1778169,78.2
33.57211,-2.49664,33.3
33.59876,-2.68737,16.7
33.6,0.633,62.1
33.60273,-2.66969,51.7
33.61206,-2.59635,34.7
33.6122,-2.77789,24.8
33.61222,-2.85461,23.3
33.61548,-2.72309,33.3
33.61919,-2.51452,49.2
33.62217,2.534983,61.1
33.6278,0.3234332,64.4
33.63942,-2.32572,33.6
33.66236,2.676861,19
33.66445,-2.46643,35.4
33.67,0.58,31
33.67351,-2.39469,33.9
33.67928,-2.74925,26.1
33.683,2.325583,71.4
33.69459,-2.77418,35.2
33.7055,0.3506833,89.5
33.70959,-2.27744,29.4
33.70973,-2.28913,25.4
33.71196,-2.71332,51.7
