longitude,latitude,elev_m,dist_to_water_m,bioclim1,bioclim4,bioclim12,bioclim15
39.3880548,3.5175787,830,14823,232.3875,1543.7,571.1,101.525
37.9308447,3.8818812,820,10006,235.6,1292.4325,450.605,98.615
38.2951472,3.8818812,1101,5982,202.8075,1417.385,593.5175,97.465
38.6594497,3.8818812,1271,17478,198.3,1516.525,656.395,97.5675
39.0237523,3.8818812,1136,34,213.9,1549.7875,636.8875,100.7
39.3880548,3.8818812,1004,5111,226.7,1462.94,535.28,106.0
39.7523573,3.8818812,996,7491,234.0725,1325.535,420.2925,114.755
37.5665421,4.2461838,836,6108,239.0125,1173.7,393.1125,83.9375
37.9308447,4.2461838,1415,9762,199.465,1281.82,529.5775,86.5
38.2951472,4.2461838,1513,37225,181.9725,1335.6275,580.7325,91.055
38.6594497,4.2461838,1393,27990,192.0025,1375.2575,586.4875,98.6975
39.0237523,4.2461838,1255,19266,203.625,1378.3625,580.0875,103.3625
39.3880548,4.2461838,1107,15135,217.565,1330.6325,516.59,109.7325
39.7523573,4.2461838,939,8425,231.9075,1228.3125,415.3775,117.3025
40.1166599,4.2461838,1118,14918,224.1325,1179.815,403.0675,117.485
40.4809624,4.2461838,972,13947,235.3,1123.1875,340.2375,116.3
40.845265,4.2461838,317,243,264.1475,986.3575,271.64,123.165
41.2095675,4.2461838,557,691,263.735,937.8625,285.93,120.4725
41.57387,4.2461838,398,790,279.05,871.6075,264.665,125.4925
41.9381726,4.2461838,209,5941,293.7,872.7625,248.725,133.75
42.3024751,4.2461838,193,5439,297.7825,1007.0425,263.97,136.1125
42.6667776,4.2461838,316,22882,292.8975,1094.54,308.0,144.4025
36.109332,4.6104863,366,742,288.3,814.39,355.3275,70.345
36.4736345,4.6104863,736,3159,262.895,911.33,424.5875,63.195
36.8379371,4.6104863,497,5013,273.5175,931.3375,346.0675,67.7675
37.2022396,4.6104863,996,456,236.7775,1144.915,454.4975,68.1275
37.5665421,4.6104863,1006,1273,232.2875,1207.5125,419.2625,78.325
37.9308447,4.6104863,1211,14081,212.8,1241.255,458.295,86.95
38.2951472,4.6104863,1625,21604,185.9075,1178.0875,564.8625,89.35
38.6594497,4.6104863,1453,17538,196.73,1185.795,544.895,99.8175
39.0237523,4.6104863,1100,4736,215.0,1198.9375,508.2,109.6625
39.3880548,4.6104863,920,3963,224.91,1157.01,475.42,114.255
39.7523573,4.6104863,1202,6899,223.87,1143.4225,468.455,116.3825
40.1166599,4.6104863,1258,6723,212.9825,1125.0825,492.17,115.15
40.4809624,4.6104863,979,2642,234.925,1058.0,380.7125,118.925
40.845265,4.6104863,821,5524,245.3,983.4175,339.35,120.4525
41.2095675,4.6104863,928,7714,244.2125,939.6775,359.335,118.2775
41.57387,4.6104863,333,69,281.09,841.0725,268.67,127.095
41.9381726,4.6104863,238,6661,291.65,857.2875,259.2875,135.4125
42.3024751,4.6104863,241,1106,293.1275,915.62,276.8575,136.8325
42.6667776,4.6104863,377,763,285.4325,993.8925,321.1375,141.085
43.0310802,4.6104863,383,25504,283.4275,1020.3725,341.5725,148.7
36.109332,4.9747888,374,676,283.8275,840.28,437.245,57.955
36.4736345,4.9747888,927,5543,248.4175,962.22,579.4225,51.9775
36.8379371,4.9747888,510,372,270.895,948.1625,405.8275,59.0975
37.2022396,4.9747888,1286,6087,223.58,1249.4875,588.87,62.55
37.5665421,4.9747888,1289,4698,218.4875,1322.05,529.35,69.2125
37.9308447,4.9747888,1477,8587,208.545,1217.02,500.315,79.5525
38.2951472,4.9747888,1641,2287,194.5575,1076.4575,570.5975,87.95
38.6594497,4.9747888,1358,1814,203.385,1004.72,542.8725,98.035
39.0237523,4.9747888,968,1331,220.9875,999.1,491.075,108.525
39.3880548,4.9747888,994,7693,224.1675,1012.48,494.43,114.6175
39.7523573,4.9747888,1373,4283,202.615,1077.015,619.1725,114.3325
40.1166599,4.9747888,1069,2678,223.1175,1024.075,505.945,115.85
40.4809624,4.9747888,1027,3633,225.675,981.025,474.4,115.8125
40.845265,4.9747888,1075,20045,230.44,932.1425,441.94,117.6425
41.2095675,4.9747888,959,5310,246.2375,874.7275,384.5375,120.3075
41.57387,4.9747888,445,8027,275.11,820.2625,301.215,127.9625
41.9381726,4.9747888,268,6857,288.2875,830.7125,276.15,134.925
